as_of,code,name,market_cap_hkd,index_code,inclusion_date,execution_id,data_available,history_ok,average_daily_amount_hkd,liquidity_ok,trading_at_review,eligible,selected,effective_from,factors_complete,trading_at_signal,ready_for_scoring
2026-06-30,00358.HK,江西铜业股份,107068000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,547587816.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03808.HK,中国重汽,106408999999.99998,HSCI.HK,2008-03-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,489277418.0,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00288.HK,万洲国际,106363000000.00002,HSCI.HK,2014-12-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,359172191.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01928.HK,金沙中国有限公司,105619000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,211759757.33333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01772.HK,赣锋锂业,105464000000.00002,HSCI.HK,2021-03-15,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,938745082.1333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06618.HK,京东健康,105452000000.0,HSCI.HK,2020-12-22,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,416092125.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01698.HK,腾讯音乐-SW,103500000000.0,HSCI.HK,2022-12-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,72327273.6,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01179.HK,华住集团-S,102590000000.00002,HSCI.HK,2020-12-07,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,99934008.36666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06990.HK,科伦博泰生物,101716000000.0,HSCI.HK,2024-03-04,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,349492444.23333335,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01913.HK,普拉达,101636000000.0,HSCI.HK,2018-09-10,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,108967360.76666667,True,True,True,True,2026-07-01,True,True,True
2026-06-30,03908.HK,中金公司,101372000000.0,HSCI.HK,2016-03-14,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,341469482.93333334,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00522.HK,ASMPT,100155000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,773373714.6666666,True,True,True,True,2026-07-01,True,True,True
2026-06-30,02015.HK,理想汽车-W,99695000000.0,HSCI.HK,2021-08-26,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,918224343.7333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01880.HK,中国中免,98820000000.0,HSCI.HK,2022-12-05,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,104320573.33333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00083.HK,信和置业,98546000000.0,HSCI.HK,2001-10-03,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,110072655.1,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09866.HK,蔚来-SW,97962000000.0,HSCI.HK,2022-06-13,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,300922041.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,09868.HK,小鹏集团-W,97050000000.0,HSCI.HK,2021-07-21,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,1003315186.1333333,True,True,True,True,2026-07-01,True,True,True
2026-06-30,06066.HK,中信建投证券,93391000000.0,HSCI.HK,2017-03-06,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,101398652.2,True,True,True,True,2026-07-01,True,True,True
2026-06-30,01208.HK,五矿资源,89154000000.0,HSCI.HK,2010-03-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,428812161.46666664,True,True,True,True,2026-07-01,True,True,True
2026-06-30,00914.HK,海螺水泥,88869000000.0,HSCI.HK,2003-09-08,f8cadab6-cf4a-4510-9509-52dc241647e6,True,True,161229072.8,True,True,True,True,2026-07-01,True,True,True
