market,signal_date,entry_date,exit_date,code,rank,entry_adjusted_close,exit_adjusted_close,qveris_gross_return,observable_signal_bar,original_label_start,original_label_end,original_fwd_ret,return_difference
a,2025-07-31,2025-08-01,2025-09-01,300666.SZ,25,70.267394308115,82.846817574648,0.17902219643115802,True,2025-08-01,2025-09-01,0.17909574508666992,-7.354865551190137e-05
a,2025-07-31,2025-08-01,2025-09-01,601818.SH,26,8.200235338755,7.5118205201928,-0.08395061728395692,True,2025-08-01,2025-09-01,-0.08333331346511841,-0.0006173038188385105
a,2025-07-31,2025-08-01,2025-09-01,601229.SH,27,37.419386748541,34.540972383269,-0.07692307692306666,True,2025-08-01,2025-09-01,-0.07716047763824463,0.00023740071517797112
a,2025-07-31,2025-08-01,2025-09-01,688331.SH,28,62.69,96.82,0.5444249481576009,True,2025-08-01,2025-09-01,0.5444250106811523,-6.252355144731325e-08
a,2025-07-31,2025-08-01,2025-09-01,000582.SZ,29,33.969115967317,35.63223058016,0.04895960832313517,True,2025-08-01,2025-09-01,0.0484471321105957,0.00051247621253947
a,2025-07-31,2025-08-01,2025-09-01,688708.SH,30,79.80597610538,84.186493405802,0.054889589905369185,True,2025-08-01,2025-09-01,0.054932475090026855,-4.288518465767055e-05
a,2025-08-29,2025-09-01,2025-10-09,603077.SH,1,27.759070549305,32.936928268346,0.186528497409314,True,2025-09-01,2025-10-09,0.18652856349945068,-6.609013669667263e-08
a,2025-08-29,2025-09-01,2025-10-09,000537.SZ,2,36.163105310089,38.14741903931,0.054871220604703064,True,2025-09-01,2025-10-09,0.05485713481903076,1.408578567230201e-05
a,2025-08-29,2025-09-01,2025-10-09,300140.SZ,3,27.106741371547,25.870742158065,-0.04559748427671151,True,2025-09-01,2025-10-09,-0.04494386911392212,-0.0006536151627893894
a,2025-08-29,2025-09-01,2025-10-09,300390.SZ,4,187.62472822234,240.99436056118,0.28444881889766505,True,2025-09-01,2025-10-09,0.28444886207580566,-4.31781406184939e-08
a,2025-08-29,2025-09-01,2025-10-09,003035.SZ,5,4.7612123567074,4.8923474428032,0.027542372881365518,True,2025-09-01,2025-10-09,0.027718544006347656,-0.0001761711249821385
a,2025-08-29,2025-09-01,2025-10-09,600032.SH,6,7.8305873014848,7.7865800114769,-0.005619922020351553,True,2025-09-01,2025-10-09,-0.005305051803588867,-0.000314870216762686
a,2025-08-29,2025-09-01,2025-10-09,000937.SZ,7,64.271559421798,64.703637132197,0.006722689075635779,True,2025-09-01,2025-10-09,0.007547140121459961,-0.0008244510458241816
a,2025-08-29,2025-09-01,2025-10-09,002266.SZ,8,46.41111382603,52.670118998497,0.13486005089058217,True,2025-09-01,2025-10-09,0.13402056694030762,0.0008394839502745555
a,2025-08-29,2025-09-01,2025-10-09,600820.SH,9,119.61102383882,118.87833762848,-0.006125574272546341,True,2025-09-01,2025-10-09,-0.0063291192054748535,0.00020354493292851217
a,2025-08-29,2025-09-01,2025-10-09,601019.SH,10,12.206082184336,10.827976131266,-0.11290322580643564,True,2025-09-01,2025-10-09,-0.11298072338104248,7.749757460684403e-05
a,2025-08-29,2025-09-01,2025-10-09,601997.SH,11,12.36525969972,11.620121900226,-0.060260586319175524,True,2025-09-01,2025-10-09,-0.06003427505493164,-0.0002263112642438836
a,2025-08-29,2025-09-01,2025-10-09,600339.SH,12,15.634459073885,15.519909673023,-0.007326726196324684,True,2025-09-01,2025-10-09,-0.008379876613616943,0.001053150417292259
a,2025-08-29,2025-09-01,2025-10-09,000591.SZ,13,45.583026595884,45.877744440254,0.006465517241380558,True,2025-09-01,2025-10-09,0.006564497947692871,-9.89807063123127e-05
a,2025-08-29,2025-09-01,2025-10-09,688336.SH,14,53.255419453727,53.345938580277,0.0016997167138763647,True,2025-09-01,2025-10-09,0.0016570091247558594,4.270758912050532e-05
a,2025-08-29,2025-09-01,2025-10-09,601398.SH,15,18.208273945933,18.035566740484,-0.00948509485093596,True,2025-09-01,2025-10-09,-0.00987309217453003,0.00038799732359406924
a,2025-08-29,2025-09-01,2025-10-09,002407.SZ,16,113.59832754911,170.77475514209,0.5033210332102989,True,2025-09-01,2025-10-09,0.5037093162536621,-0.0003882830433632467
a,2025-08-29,2025-09-01,2025-10-09,603233.SH,17,52.122533906784,51.137347205652,-0.018901358535137747,True,2025-09-01,2025-10-09,-0.019242703914642334,0.0003413453795045873
a,2025-08-29,2025-09-01,2025-10-09,603565.SH,18,43.708591523182,44.383112056093,0.015432218458772518,True,2025-09-01,2025-10-09,0.015238046646118164,0.00019417181265435346
a,2025-08-29,2025-09-01,2025-10-09,688266.SH,19,106.2,106.61,0.0038606403013181634,True,2025-09-01,2025-10-09,0.0038607120513916016,-7.175007343818152e-08
a,2025-08-29,2025-09-01,2025-10-09,603308.SH,20,41.947258870978,51.187857579342,0.22029088329195412,True,2025-09-01,2025-10-09,0.22020626068115234,8.462261080177669e-05
a,2025-08-29,2025-09-01,2025-10-09,601658.SH,21,8.104453699608,7.5854492754952,-0.06403940886699167,True,2025-09-01,2025-10-09,-0.06506848335266113,0.0010290744856694678
a,2025-08-29,2025-09-01,2025-10-09,001203.SZ,22,13.038068167811,14.566220795959,0.117206982543685,True,2025-09-01,2025-10-09,0.11715483665466309,5.214588902191508e-05
a,2025-08-29,2025-09-01,2025-10-09,000598.SZ,23,140.19857868817,139.99087709012,-0.0014814814814346766,True,2025-09-01,2025-10-09,-0.0015361309051513672,5.464942371669057e-05
a,2025-08-29,2025-09-01,2025-10-09,601939.SH,24,22.08400351818,21.180122843211,-0.040929203539788905,True,2025-09-01,2025-10-09,-0.04147469997406006,0.0005454964342711532
a,2025-08-29,2025-09-01,2025-10-09,600546.SH,25,85.300316088056,87.107890899205,0.02119071644802628,True,2025-09-01,2025-10-09,0.020746827125549316,0.00044388932247696467
